calendar_date,expected_table_suffix,event_count,pseudo_users,page_views,raw_session_start_events,is_missing_date
2026-07-14,20260714,3214,448,1094,572,false
2026-07-15,20260715,2649,342,836,491,false
2026-07-16,20260716,3027,415,1007,581,false
2026-07-17,20260717,2358,296,817,446,false
2026-07-18,20260718,1927,251,671,356,false
2026-07-19,20260719,1647,210,575,298,false
2026-07-20,20260720,2026,266,710,361,false
2026-07-21,20260721,2011,257,740,348,false
2026-07-22,20260722,1700,211,675,299,false
2026-07-23,20260723,2039,268,790,366,false
2026-07-24,20260724,1751,220,681,303,false
2026-07-25,20260725,2007,234,847,337,false
2026-07-26,20260726,1869,213,811,324,false
2026-07-27,20260727,2393,270,1035,386,false
2026-07-28,20260728,2734,332,1064,455,false
2026-07-29,20260729,3382,329,1450,515,false
2026-07-30,20260730,3224,319,1403,489,false
2026-07-31,20260731,3148,349,1335,517,false
2026-08-01,20260801,2798,292,1181,425,false
2026-08-02,20260802,4165,418,1733,596,false
2026-08-03,20260803,3287,370,1396,525,false
2026-08-04,20260804,4268,423,1702,616,false
