window_label,event_name,page_path,page_title,occurred_on_replay_library,interaction_url,interaction_label,interaction_host,event_count,unique_users
7 days (exact),full_resolution_infographic_open,/lre/lysander/,Lysander Legendary Release Event | Terminus Maximus Infographics,false,https://terminusmaximus.com/images/lysander-lre.png,Lysander Legendary Release Event,terminusmaximus.com,510,403
7 days (exact),full_resolution_infographic_open,/elite-campaigns/,Elite Campaigns | Terminus Maximus Infographics,false,https://terminusmaximus.com/images/elite-campaigns.png,Elite Campaigns,terminusmaximus.com,274,201
7 days (exact),full_resolution_infographic_open,/guild-raid/boss-meta/,Guild Raid Boss Meta Guide | Terminus Maximus Infographics,false,https://terminusmaximus.com/images/boss-meta.png,Guild Raid Boss Meta Guide,terminusmaximus.com,252,187
7 days (exact),full_resolution_infographic_open,/campaign-event/,Campaign Event | Terminus Maximus Infographics,false,https://terminusmaximus.com/images/campaign-event.png,Campaign Event,terminusmaximus.com,212,158
7 days (exact),full_resolution_infographic_open,/beginner-guide/,Beginner Guide | Terminus Maximus Infographics,false,https://terminusmaximus.com/images/beginner-guide.png,Beginner Guide,terminusmaximus.com,172,122
7 days (exact),full_resolution_infographic_open,/guild-raid/s106/,Guild Raid Season 106 | Terminus Maximus Infographics,false,https://terminusmaximus.com/images/guild-raid-s106-mythic.png,Guild Raid Season 106 - Mythic Bosses,terminusmaximus.com,67,53
7 days (exact),full_resolution_infographic_open,/lre/farsight/,Farsight Legendary Release Event | Terminus Maximus Infographics,false,https://terminusmaximus.com/images/farsight-lre.png,Farsight Legendary Release Event,terminusmaximus.com,53,41
7 days (exact),full_resolution_infographic_open,/incursion-mow/,Incursion & Machine of War | Terminus Maximus Infographics,false,https://terminusmaximus.com/images/incursion-mow.png,Incursion & Machine of War,terminusmaximus.com,36,34
7 days (exact),full_resolution_infographic_open,/lre/lucius/,Lucius Legendary Release Event | Terminus Maximus Infographics,false,https://terminusmaximus.com/images/lucius-lre.png,Lucius Legendary Release Event,terminusmaximus.com,33,29
7 days (exact),full_resolution_infographic_open,/guild-raid/s106/,Guild Raid Season 106 | Terminus Maximus Infographics,false,https://terminusmaximus.com/images/guild-raid-s106-legendary.png,Guild Raid Season 106 - Legendary Bosses,terminusmaximus.com,30,28
7 days (exact),full_resolution_infographic_open,/lre/uthar/,Uthar Legendary Release Event | Terminus Maximus Infographics,false,https://terminusmaximus.com/images/uthar-lre.png,Uthar Legendary Release Event,terminusmaximus.com,25,22
