event_date,event_name,event_count,unique_users,events_on_replay_library
2026-07-14,full_resolution_infographic_open,265,136,0
2026-07-14,guild_raid_youtube_click,61,39,0
2026-07-15,full_resolution_infographic_open,193,110,0
2026-07-15,guild_raid_youtube_click,97,42,0
2026-07-16,full_resolution_infographic_open,187,121,0
2026-07-16,guild_raid_youtube_click,91,47,0
2026-07-17,full_resolution_infographic_open,152,86,0
2026-07-17,guild_raid_youtube_click,71,34,0
2026-07-18,full_resolution_infographic_open,151,89,0
2026-07-18,guild_raid_youtube_click,39,24,0
2026-07-19,full_resolution_infographic_open,132,76,0
2026-07-19,guild_raid_youtube_click,51,25,0
2026-07-20,full_resolution_infographic_open,196,116,0
2026-07-20,guild_raid_youtube_click,31,20,0
2026-07-21,full_resolution_infographic_open,177,114,0
2026-07-21,guild_raid_youtube_click,32,15,0
2026-07-22,full_resolution_infographic_open,141,82,0
2026-07-22,guild_raid_youtube_click,25,18,0
2026-07-23,full_resolution_infographic_open,172,115,0
2026-07-23,guild_raid_youtube_click,22,16,0
2026-07-24,full_resolution_infographic_open,124,78,0
2026-07-24,guild_raid_youtube_click,32,19,0
2026-07-25,full_resolution_infographic_open,128,78,0
2026-07-25,guild_raid_youtube_click,27,16,0
2026-07-26,full_resolution_infographic_open,139,83,0
2026-07-26,guild_raid_youtube_click,20,11,0
2026-07-27,full_resolution_infographic_open,163,102,0
2026-07-27,guild_raid_youtube_click,21,16,0
2026-07-28,full_resolution_infographic_open,264,150,0
2026-07-28,guild_raid_youtube_click,25,16,0
2026-07-29,full_resolution_infographic_open,208,121,0
2026-07-29,guild_raid_youtube_click,50,25,0
2026-07-30,full_resolution_infographic_open,222,127,0
2026-07-30,guild_raid_youtube_click,38,21,0
2026-07-31,full_resolution_infographic_open,215,140,0
2026-07-31,guild_raid_youtube_click,41,19,0
2026-08-01,full_resolution_infographic_open,232,130,0
2026-08-01,guild_raid_youtube_click,21,14,0
2026-08-02,full_resolution_infographic_open,327,183,0
2026-08-02,guild_raid_youtube_click,26,19,0
2026-08-03,full_resolution_infographic_open,255,154,0
2026-08-03,guild_raid_youtube_click,30,19,0
2026-08-04,full_resolution_infographic_open,390,200,0
2026-08-04,guild_raid_youtube_click,18,13,0
