window_label,event_name,device_category,browser,event_count,unique_users
7 days (exact),full_resolution_infographic_open,mobile,Chrome,763,342
7 days (exact),full_resolution_infographic_open,mobile,Safari,364,186
7 days (exact),full_resolution_infographic_open,desktop,Chrome,333,132
7 days (exact),full_resolution_infographic_open,desktop,Edge,92,35
7 days (exact),full_resolution_infographic_open,desktop,Firefox,68,21
7 days (exact),full_resolution_infographic_open,mobile,Samsung Internet,68,34
7 days (exact),full_resolution_infographic_open,desktop,Safari,34,22
7 days (exact),full_resolution_infographic_open,tablet,Chrome,27,16
7 days (exact),full_resolution_infographic_open,mobile,Firefox,24,12
7 days (exact),full_resolution_infographic_open,desktop,Opera,20,10
7 days (exact),full_resolution_infographic_open,mobile,Opera,20,6
7 days (exact),full_resolution_infographic_open,mobile,YaBrowser,14,3
7 days (exact),full_resolution_infographic_open,mobile,Android Webview,11,3
7 days (exact),full_resolution_infographic_open,tablet,Safari,5,2
7 days (exact),full_resolution_infographic_open,desktop,Samsung Internet,3,1
7 days (exact),full_resolution_infographic_open,desktop,YaBrowser,2,1
7 days (exact),full_resolution_infographic_open,mobile,Edge,1,1
7 days (exact),guild_raid_youtube_click,mobile,Chrome,76,35
7 days (exact),guild_raid_youtube_click,mobile,Safari,46,23
7 days (exact),guild_raid_youtube_click,desktop,Chrome,35,19
7 days (exact),guild_raid_youtube_click,mobile,Samsung Internet,19,5
7 days (exact),guild_raid_youtube_click,tablet,Chrome,16,1
7 days (exact),guild_raid_youtube_click,desktop,Firefox,10,3
7 days (exact),guild_raid_youtube_click,desktop,Opera,7,3
7 days (exact),guild_raid_youtube_click,desktop,Edge,6,6
7 days (exact),guild_raid_youtube_click,desktop,Safari,6,4
7 days (exact),guild_raid_youtube_click,mobile,Firefox,3,1
28 days (available 22 of requested 28),full_resolution_infographic_open,mobile,Chrome,1941,694
28 days (available 22 of requested 28),full_resolution_infographic_open,mobile,Safari,924,401
28 days (available 22 of requested 28),full_resolution_infographic_open,desktop,Chrome,688,242
28 days (available 22 of requested 28),full_resolution_infographic_open,mobile,Samsung Internet,186,75
28 days (available 22 of requested 28),full_resolution_infographic_open,desktop,Edge,154,50
28 days (available 22 of requested 28),full_resolution_infographic_open,desktop,Firefox,153,36
28 days (available 22 of requested 28),full_resolution_infographic_open,mobile,Firefox,74,29
28 days (available 22 of requested 28),full_resolution_infographic_open,desktop,Safari,73,39
28 days (available 22 of requested 28),full_resolution_infographic_open,desktop,Opera,65,20
28 days (available 22 of requested 28),full_resolution_infographic_open,tablet,Chrome,64,30
28 days (available 22 of requested 28),full_resolution_infographic_open,mobile,Opera,45,14
28 days (available 22 of requested 28),full_resolution_infographic_open,mobile,Android Webview,24,7
28 days (available 22 of requested 28),full_resolution_infographic_open,mobile,YaBrowser,18,6
28 days (available 22 of requested 28),full_resolution_infographic_open,mobile,Edge,9,5
28 days (available 22 of requested 28),full_resolution_infographic_open,tablet,Safari,7,4
28 days (available 22 of requested 28),full_resolution_infographic_open,desktop,Samsung Internet,5,2
28 days (available 22 of requested 28),full_resolution_infographic_open,desktop,YaBrowser,2,1
28 days (available 22 of requested 28),full_resolution_infographic_open,mobile,Safari (in-app),1,1
28 days (available 22 of requested 28),guild_raid_youtube_click,mobile,Chrome,304,105
28 days (available 22 of requested 28),guild_raid_youtube_click,desktop,Chrome,180,73
28 days (available 22 of requested 28),guild_raid_youtube_click,mobile,Safari,171,63
28 days (available 22 of requested 28),guild_raid_youtube_click,mobile,Samsung Internet,53,10
28 days (available 22 of requested 28),guild_raid_youtube_click,desktop,Firefox,39,10
28 days (available 22 of requested 28),guild_raid_youtube_click,desktop,Opera,37,8
28 days (available 22 of requested 28),guild_raid_youtube_click,tablet,Chrome,26,6
28 days (available 22 of requested 28),guild_raid_youtube_click,mobile,Firefox,20,4
28 days (available 22 of requested 28),guild_raid_youtube_click,desktop,Edge,13,9
28 days (available 22 of requested 28),guild_raid_youtube_click,desktop,Safari,13,8
28 days (available 22 of requested 28),guild_raid_youtube_click,mobile,Android Webview,10,3
28 days (available 22 of requested 28),guild_raid_youtube_click,desktop,Samsung Internet,1,1
28 days (available 22 of requested 28),guild_raid_youtube_click,mobile,Edge,1,1
28 days (available 22 of requested 28),guild_raid_youtube_click,mobile,Opera,1,1
90 days (available 22 of requested 90),full_resolution_infographic_open,mobile,Chrome,1941,694
90 days (available 22 of requested 90),full_resolution_infographic_open,mobile,Safari,924,401
90 days (available 22 of requested 90),full_resolution_infographic_open,desktop,Chrome,688,242
90 days (available 22 of requested 90),full_resolution_infographic_open,mobile,Samsung Internet,186,75
90 days (available 22 of requested 90),full_resolution_infographic_open,desktop,Edge,154,50
90 days (available 22 of requested 90),full_resolution_infographic_open,desktop,Firefox,153,36
90 days (available 22 of requested 90),full_resolution_infographic_open,mobile,Firefox,74,29
90 days (available 22 of requested 90),full_resolution_infographic_open,desktop,Safari,73,39
90 days (available 22 of requested 90),full_resolution_infographic_open,desktop,Opera,65,20
90 days (available 22 of requested 90),full_resolution_infographic_open,tablet,Chrome,64,30
90 days (available 22 of requested 90),full_resolution_infographic_open,mobile,Opera,45,14
90 days (available 22 of requested 90),full_resolution_infographic_open,mobile,Android Webview,24,7
90 days (available 22 of requested 90),full_resolution_infographic_open,mobile,YaBrowser,18,6
90 days (available 22 of requested 90),full_resolution_infographic_open,mobile,Edge,9,5
90 days (available 22 of requested 90),full_resolution_infographic_open,tablet,Safari,7,4
90 days (available 22 of requested 90),full_resolution_infographic_open,desktop,Samsung Internet,5,2
90 days (available 22 of requested 90),full_resolution_infographic_open,desktop,YaBrowser,2,1
90 days (available 22 of requested 90),full_resolution_infographic_open,mobile,Safari (in-app),1,1
