window_label,event_name,page_path,occurred_on_replay_library,event_count,interacting_users,page_views,page_users,events_per_100_page_views,interacting_users_per_100_page_users
7 days (exact),full_resolution_infographic_open,/lre/lysander/,false,529,417,809,500,65.39,83.4
7 days (exact),full_resolution_infographic_open,/elite-campaigns/,false,291,209,549,310,53.01,67.42
7 days (exact),full_resolution_infographic_open,/guild-raid/boss-meta/,false,255,189,733,335,34.79,56.42
7 days (exact),full_resolution_infographic_open,/campaign-event/,false,227,166,335,216,67.76,76.85
7 days (exact),full_resolution_infographic_open,/beginner-guide/,false,181,128,377,215,48.01,59.53
7 days (exact),full_resolution_infographic_open,/guild-raid/s106/,false,133,87,429,229,31,37.99
7 days (exact),full_resolution_infographic_open,/lre/farsight/,false,57,43,94,53,60.64,81.13
7 days (exact),full_resolution_infographic_open,/incursion-mow/,false,37,35,67,54,55.22,64.81
7 days (exact),full_resolution_infographic_open,/lre/lucius/,false,37,33,112,75,33.04,44
7 days (exact),full_resolution_infographic_open,/guild-raid/s105/,false,30,21,155,85,19.35,24.71
7 days (exact),full_resolution_infographic_open,/lre/uthar/,false,29,24,59,40,49.15,60
7 days (exact),full_resolution_infographic_open,/hre/,false,27,25,61,55,44.26,45.45
7 days (exact),full_resolution_infographic_open,/campaigns/indomitus/,false,14,14,84,58,16.67,24.14
7 days (exact),full_resolution_infographic_open,/guild-raid/s103/,false,1,1,12,6,8.33,16.67
7 days (exact),full_resolution_infographic_open,/guild-raid/s104/,false,1,1,10,4,10,25
7 days (exact),guild_raid_youtube_click,/guild-raid/s106/,false,130,59,429,229,30.3,25.76
7 days (exact),guild_raid_youtube_click,/guild-raid/boss-meta/,false,86,35,733,335,11.73,10.45
7 days (exact),guild_raid_youtube_click,/guild-raid/s105/,false,6,6,155,85,3.87,7.06
7 days (exact),guild_raid_youtube_click,/guild-raid/s103/,false,1,1,12,6,8.33,16.67
7 days (exact),guild_raid_youtube_click,/guild-raid/s104/,false,1,1,10,4,10,25
28 days (available 22 of requested 28),full_resolution_infographic_open,/guild-raid/boss-meta/,false,807,519,2725,1108,29.61,46.84
28 days (available 22 of requested 28),full_resolution_infographic_open,/elite-campaigns/,false,698,442,1339,627,52.13,70.49
28 days (available 22 of requested 28),full_resolution_infographic_open,/lre/lysander/,false,634,493,960,595,66.04,82.86
28 days (available 22 of requested 28),full_resolution_infographic_open,/lre/lucius/,false,529,373,900,466,58.78,80.04
28 days (available 22 of requested 28),full_resolution_infographic_open,/beginner-guide/,false,406,282,943,484,43.05,58.26
28 days (available 22 of requested 28),full_resolution_infographic_open,/campaign-event/,false,358,235,574,317,62.37,74.13
28 days (available 22 of requested 28),full_resolution_infographic_open,/guild-raid/s105/,false,268,170,1171,525,22.89,32.38
28 days (available 22 of requested 28),full_resolution_infographic_open,/guild-raid/s106/,false,229,135,684,358,33.48,37.71
28 days (available 22 of requested 28),full_resolution_infographic_open,/incursion-mow/,false,214,180,403,272,53.1,66.18
28 days (available 22 of requested 28),full_resolution_infographic_open,/lre/farsight/,false,109,76,174,93,62.64,81.72
28 days (available 22 of requested 28),full_resolution_infographic_open,/lre/uthar/,false,91,71,154,100,59.09,71
28 days (available 22 of requested 28),full_resolution_infographic_open,/hre/,false,54,50,138,121,39.13,41.32
28 days (available 22 of requested 28),full_resolution_infographic_open,/guild-raid/s104/,false,19,9,66,38,28.79,23.68
28 days (available 22 of requested 28),full_resolution_infographic_open,/campaigns/indomitus/,false,14,14,84,58,16.67,24.14
28 days (available 22 of requested 28),full_resolution_infographic_open,/guild-raid/s103/,false,2,2,29,14,6.9,14.29
28 days (available 22 of requested 28),full_resolution_infographic_open,/guild-raid/s100/,false,1,1,2,2,50,50
28 days (available 22 of requested 28),guild_raid_youtube_click,/guild-raid/boss-meta/,false,342,107,2725,1108,12.55,9.66
28 days (available 22 of requested 28),guild_raid_youtube_click,/guild-raid/s105/,false,335,138,1171,525,28.61,26.29
28 days (available 22 of requested 28),guild_raid_youtube_click,/guild-raid/s106/,false,184,89,684,358,26.9,24.86
