event_name,parameter_name,total_events,populated_events,missing_or_empty_events,populated_percent,implementation_note
full_resolution_infographic_open,infographic_title,4433,4433,0,100,
full_resolution_infographic_open,infographic_url,4433,4433,0,100,
full_resolution_infographic_open,link_source,4433,4433,0,100,
full_resolution_infographic_open,open_url,4433,0,4433,0,Not implemented; infographic_url is the populated production parameter.
full_resolution_infographic_open,page_path,4433,4433,0,100,
full_resolution_infographic_open,page_title,4433,4433,0,100,
guild_raid_youtube_click,link_host,869,869,0,100,
guild_raid_youtube_click,link_text,869,827,42,95.17,
guild_raid_youtube_click,link_url,869,869,0,100,
guild_raid_youtube_click,page_path,869,869,0,100,
guild_raid_youtube_click,page_title,869,869,0,100,
