session_key,user_pseudo_id,ga_session_id,first_event_date,first_event_timestamp_utc,last_event_timestamp_utc,event_count,session_source,session_medium,session_campaign,first_hostname,diagnostic_reason
1080570760.1784012352|1784012351,1080570760.1784012352,1784012351,2026-07-14,2026-07-14T07:00:00.332428Z,2026-07-14T07:00:00.332428Z,1,(direct),(none),(direct),terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
136404850.1784012365|1784012364,136404850.1784012365,1784012364,2026-07-14,2026-07-14T07:00:10.767767Z,2026-07-14T07:00:10.767767Z,1,(direct),(none),(direct),terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
1127149849.1784011911|1784011910,1127149849.1784011911,1784011910,2026-07-14,2026-07-14T07:01:14.600664Z,2026-07-14T07:01:14.600664Z,1,(direct),(none),(direct),terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
404134807.1780677744|1784046711,404134807.1780677744,1784046711,2026-07-14,2026-07-14T16:33:17.124306Z,2026-07-14T16:33:17.124306Z,1,(direct),(none),(not set),terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
902217467.1784349301|1784441364,902217467.1784349301,1784441364,2026-07-18,2026-07-19T06:12:03.524529Z,2026-07-19T06:15:31.050874Z,6,google,organic,(organic),terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
1683164381.1784655272|1784655271,1683164381.1784655272,1784655271,2026-07-21,2026-07-21T17:35:01.820075Z,2026-07-21T17:35:06.312124Z,7,(direct),(none),(not set),terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
1226819984.1784128159|1784979310,1226819984.1784128159,1784979310,2026-07-25,2026-07-25T11:36:04.005099Z,2026-07-25T11:38:15.260707Z,4,(direct),(none),(not set),terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
1654400207.1785325753|1785325752,1654400207.1785325753,1785325752,2026-07-29,2026-07-29T11:51:54.551700Z,2026-07-29T11:51:54.551700Z,1,(direct),(none),(not set),www.terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
1808395977.1785429891|1785474846,1808395977.1785429891,1785474846,2026-07-30,2026-07-31T05:53:05.311432Z,2026-07-31T05:53:05.311432Z,1,(direct),(none),(not set),terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
1500403911.1782723451|1785601123,1500403911.1782723451,1785601123,2026-08-01,2026-08-01T16:27:27.070050Z,2026-08-01T16:27:27.070050Z,1,(direct),(none),(not set),terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
2113911111.1785606915|1785612110,2113911111.1785606915,1785612110,2026-08-01,2026-08-01T19:21:56.927024Z,2026-08-01T19:22:13.828818Z,3,(direct),(none),(not set),terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
822944234.1780728394|1785618927,822944234.1780728394,1785618927,2026-08-01,2026-08-01T21:15:30.785639Z,2026-08-01T21:15:49.383461Z,3,(direct),(none),(not set),terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
2113911111.1785606915|1785632079,2113911111.1785606915,1785632079,2026-08-01,2026-08-02T00:54:46.859101Z,2026-08-02T00:55:09.941123Z,4,(direct),(none),(not set),terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
600377017.1781438958|1785666840,600377017.1781438958,1785666840,2026-08-02,2026-08-02T10:35:44.474147Z,2026-08-02T10:35:44.474147Z,1,(direct),(none),(not set),terminusmaximus.com,Excluded from official session metrics because no session_start was observed in the bounded export.
