window_label,device_category,browser,sessions,users,replay_page_views,engaged_sessions
7 days (exact),mobile,Chrome,323,121,1073,219
7 days (exact),desktop,Chrome,264,87,1145,242
7 days (exact),mobile,Safari,233,84,818,167
7 days (exact),desktop,Opera,48,9,107,25
7 days (exact),desktop,Safari,41,14,191,32
7 days (exact),desktop,Firefox,33,16,151,31
7 days (exact),mobile,Samsung Internet,28,14,92,26
7 days (exact),tablet,Chrome,28,4,87,13
7 days (exact),desktop,Edge,20,14,72,19
7 days (exact),tablet,Safari,4,2,19,4
7 days (exact),mobile,Android Webview,3,2,8,2
7 days (exact),mobile,Opera,2,1,2,1
7 days (exact),mobile,Firefox,1,1,1,1
7 days (exact),mobile,YaBrowser,1,1,1,1
28 days (available 22 of requested 28),mobile,Chrome,695,231,1798,455
28 days (available 22 of requested 28),mobile,Safari,645,217,1590,392
28 days (available 22 of requested 28),desktop,Chrome,491,149,1821,435
28 days (available 22 of requested 28),tablet,Chrome,97,14,183,44
28 days (available 22 of requested 28),desktop,Opera,77,13,161,43
28 days (available 22 of requested 28),desktop,Safari,65,24,238,47
28 days (available 22 of requested 28),desktop,Firefox,61,25,213,58
28 days (available 22 of requested 28),mobile,Samsung Internet,56,26,164,49
28 days (available 22 of requested 28),desktop,Edge,52,26,147,47
28 days (available 22 of requested 28),mobile,Android Webview,21,5,60,20
28 days (available 22 of requested 28),mobile,Firefox,10,8,15,9
28 days (available 22 of requested 28),mobile,Opera,10,4,23,9
28 days (available 22 of requested 28),tablet,Safari,7,5,22,4
28 days (available 22 of requested 28),mobile,Edge,4,3,6,2
28 days (available 22 of requested 28),desktop,Mozilla Compatible Agent,1,1,1,0
28 days (available 22 of requested 28),mobile,YaBrowser,1,1,1,1
90 days (available 22 of requested 90),mobile,Chrome,695,231,1798,455
90 days (available 22 of requested 90),mobile,Safari,645,217,1590,392
90 days (available 22 of requested 90),desktop,Chrome,491,149,1821,435
90 days (available 22 of requested 90),tablet,Chrome,97,14,183,44
90 days (available 22 of requested 90),desktop,Opera,77,13,161,43
90 days (available 22 of requested 90),desktop,Safari,65,24,238,47
90 days (available 22 of requested 90),desktop,Firefox,61,25,213,58
90 days (available 22 of requested 90),mobile,Samsung Internet,56,26,164,49
90 days (available 22 of requested 90),desktop,Edge,52,26,147,47
90 days (available 22 of requested 90),mobile,Android Webview,21,5,60,20
90 days (available 22 of requested 90),mobile,Firefox,10,8,15,9
90 days (available 22 of requested 90),mobile,Opera,10,4,23,9
90 days (available 22 of requested 90),tablet,Safari,7,5,22,4
90 days (available 22 of requested 90),mobile,Edge,4,3,6,2
90 days (available 22 of requested 90),desktop,Mozilla Compatible Agent,1,1,1,0
90 days (available 22 of requested 90),mobile,YaBrowser,1,1,1,1
