analysis_period_label,previous_page_path,replay_library_path,next_page_path,replay_was_landing_page,single_page_session,multiple_replay_views,had_replay_library_youtube_click,sessions,users
Available export: 2026-07-14 to 2026-08-04 (22 days),(session start),/replay-library/,(no next page),true,true,false,false,918,352
Available export: 2026-07-14 to 2026-08-04 (22 days),(session start),/replay-library/,/replay-library/,true,false,true,false,636,257
Available export: 2026-07-14 to 2026-08-04 (22 days),/,/replay-library/,/replay-library/,false,false,true,false,235,126
Available export: 2026-07-14 to 2026-08-04 (22 days),/,/replay-library/,(no next page),false,false,false,false,71,46
Available export: 2026-07-14 to 2026-08-04 (22 days),/guild-raid/boss-meta/,/replay-library/,/replay-library/,false,false,true,false,45,27
Available export: 2026-07-14 to 2026-08-04 (22 days),/guild-raid/s106/,/replay-library/,/replay-library/,false,false,true,false,37,34
Available export: 2026-07-14 to 2026-08-04 (22 days),/guild-raid/s105/,/replay-library/,/replay-library/,false,false,true,false,31,22
Available export: 2026-07-14 to 2026-08-04 (22 days),/guild-raid/s105/,/replay-library/,(no next page),false,false,false,false,29,27
Available export: 2026-07-14 to 2026-08-04 (22 days),(session start),/replay-library/,/,true,false,false,false,27,21
Available export: 2026-07-14 to 2026-08-04 (22 days),/guild-raid/boss-meta/,/replay-library/,(no next page),false,false,false,false,20,19
Available export: 2026-07-14 to 2026-08-04 (22 days),(session start),/replay-library/,/,true,false,true,false,19,18
Available export: 2026-07-14 to 2026-08-04 (22 days),/guild-raid/,/replay-library/,/replay-library/,false,false,true,false,12,11
Available export: 2026-07-14 to 2026-08-04 (22 days),/,/replay-library/,/,false,false,false,false,11,11
Available export: 2026-07-14 to 2026-08-04 (22 days),(session start),/replay-library/,/guild-raid/s105/,true,false,false,false,10,10
Available export: 2026-07-14 to 2026-08-04 (22 days),/guild-raid/,/replay-library/,(no next page),false,false,false,false,10,10
Available export: 2026-07-14 to 2026-08-04 (22 days),(session start),/replay-library/,/guild-raid/s105/,true,false,true,false,8,6
Available export: 2026-07-14 to 2026-08-04 (22 days),/,/replay-library/,/,false,false,true,false,7,6
Available export: 2026-07-14 to 2026-08-04 (22 days),/guild-raid/s105/,/replay-library/,/guild-raid/s105/,false,false,false,false,7,7
Available export: 2026-07-14 to 2026-08-04 (22 days),(session start),/replay-library/,/guild-raid/,true,false,false,false,6,6
Available export: 2026-07-14 to 2026-08-04 (22 days),/elite-campaigns/,/replay-library/,/replay-library/,false,false,true,false,5,5
Available export: 2026-07-14 to 2026-08-04 (22 days),/lre/lysander/,/replay-library/,/replay-library/,false,false,true,false,5,5
Available export: 2026-07-14 to 2026-08-04 (22 days),(session start),/replay-library/,/guild-raid/boss-meta/,true,false,false,false,4,4
Available export: 2026-07-14 to 2026-08-04 (22 days),/,/replay-library/,/guild-raid/boss-meta/,false,false,false,false,4,4
Available export: 2026-07-14 to 2026-08-04 (22 days),/campaign-event/,/replay-library/,/replay-library/,false,false,true,false,4,4
Available export: 2026-07-14 to 2026-08-04 (22 days),/guild-raid/boss-meta/,/replay-library/,/guild-raid/boss-meta/,false,false,true,false,4,3
Available export: 2026-07-14 to 2026-08-04 (22 days),/guild-raid/s106/,/replay-library/,(no next page),false,false,false,false,4,4
Available export: 2026-07-14 to 2026-08-04 (22 days),(session start),/replay-library/,/guild-raid/s106/,true,false,true,false,3,3
