category,source,output
bosses,Avatar.png,Avatar.webp
bosses,Cawl.png,Cawl.webp
bosses,Dorn.png,Dorn.webp
bosses,Ghaz.png,Ghaz.webp
bosses,Hive_Tyrant.png,Hive_Tyrant.webp
bosses,Lion.png,Lion.webp
bosses,Magnus.png,Magnus.webp
bosses,Mortarion.png,Mortarion.webp
bosses,Riptide.png,Riptide.webp
bosses,Screamer.png,Screamer.webp
bosses,Szarekh.png,Szarekh.webp
bosses,Tervigon.png,Tervigon.webp
heroes,Abaddon.png,Abaddon.webp
heroes,Abrax.png,Abrax.webp
heroes,Actus.png,Actus.webp
heroes,Aesoth.png,Aesoth.webp
heroes,Ahri.png,Ahri.webp
heroes,Aleph.png,Aleph.webp
heroes,Ammuk.png,Ammuk.webp
heroes,Archi.png,Archi.webp
heroes,Asmo.png,Asmo.webp
heroes,Atla.png,Atla.webp
heroes,Aunshi.png,Aunshi.webp
heroes,Boss.png,Boss.webp
heroes,Dante.png,Dante.webp
heroes,Eldy.png,Eldy.webp
heroes,Forcas.png,Forcas.webp
heroes,Helb.png,Helb.webp
heroes,Kari.png,Kari.webp
heroes,Kharn.png,Kharn.webp
heroes,Lav.png,Lav.webp
heroes,Meph.png,Meph.webp
heroes,Neuro.png,Neuro.webp
heroes,Rag.png,Rag.webp
heroes,Revas.png,Revas.webp
heroes,Rho.png,Rho.webp
heroes,Rosie.png,Rosie.webp
heroes,Sho.png,Sho.webp
heroes,Tan.png,Tan.webp
heroes,Vit.png,Vit.webp
heroes,Winged.png,Winged.webp
heroes,Xybia.png,Xybia.webp
heroes,Yaz.png,Yaz.webp
mow,Biovore.png,Biovore.webp
mow,Exo.png,Exo.webp
mow,FF.png,FF.webp
mow,Galatian.png,Galatian.webp
mow,PBC.png,PBC.webp
mow,Reanimator.png,Reanimator.webp
mow,Zkar.png,Zkar.webp
