Order_Old,Final_STATUS,Boss,Tier,Damage,Team,Replay,Team (no MoW),view_count,upload_date,creator_name,creator_channel_link,team_key,tier_weight,days_old,date_weight,damage_num,replay_scaled_damage,team_frequency_count,frequency_weight,meta_score
4,META,Avatar,L3,"1,930,000","Lav, Kari, Traj, Boss, Kharn, Biovore",https://www.youtube.com/shorts/Noe0IiYGMME,"Lav, Kari, Traj, Boss, Kharn",3756,2026-04-28,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Boss|Kari|Kharn|Lav|Traj,1.17,36,0.9370603681,1930000,2258100,2,1,2115976.017
5,META,Avatar,L4,"2,000,000","Lav, Kari, Traj, Boss, Kharn, Biovore",https://www.youtube.com/shorts/xsTygubUf3k,"Lav, Kari, Traj, Boss, Kharn",6293,2026-04-17,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Boss|Kari|Kharn|Lav|Traj,1.25,47,0.9186307833,2000000,2500000,2,1,2296576.958
2,,Avatar,L3,"1,490,000","Lav, Kari, Traj, Boss, Aesoth, Biovore",https://www.youtube.com/shorts/GEfdz2Ze8O8,"Lav, Kari, Traj, Boss, Aesoth",10165,2026-03-15,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Aesoth|Boss|Kari|Lav|Traj,1.17,80,0.8654884315,1490000,1743300,2,1,1508805.983
10,,Avatar,M1,"1,400,000","Lav, Kari, Traj, Boss, Vit, Biovore",https://www.youtube.com/shorts/oEiWf5uAZZY,"Lav, Kari, Traj, Boss, Vit",3458,2026-05-13,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Boss|Kari|Lav|Traj|Vit,1.42,21,0.9627889178,1400000,1988000,1,0.5,957012.1843
12,,Avatar,M2,"1,300,000","Lav, Kari, Traj, Boss, Abaddon, Biovore",https://www.youtube.com/shorts/sAST52AVT7Y,"Lav, Kari, Traj, Boss, Abaddon",6731,2026-04-17,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Abaddon|Boss|Kari|Lav|Traj,1.5,47,0.9186307833,1300000,1950000,1,0.5,895665.0137
3,,Avatar,L3,"1,250,000","Lav, Kari, Traj, Boss, Dante, Biovore",https://www.youtube.com/shorts/HI2HKB_9Uvc,"Lav, Kari, Traj, Boss, Dante",510,2026-04-22,Jordan,https://www.youtube.com/channel/UCRadJqtMEq4alZb7LOSevyw,Boss|Dante|Kari|Lav|Traj,1.17,42,0.9269625002,1250000,1462500,2,1,1355682.657
6,,Avatar,L4,"1,190,000","Lav, Kari, Traj, Boss, Aesoth, Biovore",https://www.youtube.com/shorts/LGtrum36u4g,"Lav, Kari, Traj, Boss, Aesoth",1075,2026-05-23,UltraBrother,https://www.youtube.com/channel/UCnB6Kf0NVHXLKVWR8Cl9XOA,Aesoth|Boss|Kari|Lav|Traj,1.25,11,0.9803325534,1190000,1487500,2,1,1458244.673
14,,Avatar,M2,"1,130,000","Lav, Kari, Traj, Boss, Dante, Biovore",https://www.youtube.com/shorts/D0_FR8wuNEM,"Lav, Kari, Traj, Boss, Dante",1043,2026-04-17,UltraBrother,https://www.youtube.com/channel/UCnB6Kf0NVHXLKVWR8Cl9XOA,Boss|Dante|Kari|Lav|Traj,1.5,47,0.9186307833,1130000,1695000,2,1,1557079.178
13,,Avatar,M2,"1,000,000","Neuro, Abrax, Ahri, Yaz, Archi, Zkar",https://www.youtube.com/shorts/UIGUORK0jTE,"Neuro, Abrax, Ahri, Yaz, Archi",2988,2026-04-17,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Abrax|Ahri|Archi|Neuro|Yaz,1.5,47,0.9186307833,1000000,1500000,1,0.5,688973.0875
8,ALTERNATE,Avatar,L5,"839,000","Neuro, Abrax, Ahri, Yaz, Rosie, Exo",https://www.youtube.com/shorts/VIs6VlQ3BpY,"Neuro, Abrax, Ahri, Yaz, Rosie",3393,2025-09-29,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Abrax|Ahri|Neuro|Rosie|Yaz,1.33,247,0.640168297,839000,1115870,2,1,714344.5975
